time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
7700,2024-07-02 11:12:06,51.5366785230479,61.1509682286697,54.790028,53.0183744,1021.9424838176,1074.9608582176,67.585304,22.0114896,44.48162872,47.476379472,23,5,16.726,1075.2889422176,55.118112,22.0114896,44.48162872,-20.579848,-7.82929,-0.894776,202.7, -10, -13,0,0,1684,1024,1684,904,100,0,100,-18,166.2,0,0,95,4.14,4.123,4.14,4.127,0,0,7.463,70.88,1074.9608582176,54.790028,6,P-GPS,
7900,2024-07-02 11:12:06,51.5366619590077,61.1509583158615,55.446196,53.5433088,1022.0737174176,1075.6170262176,62.664044,22.4141388,50.929463572,53.924870492,23,5,16.726,1075.6170262176,55.446196,22.4141388,50.929463572,-21.25093,-7.158208,-3.131716,199.2, -6.3, 1.5,0,0,1684,1024,1684,984,100,0,100,-6,165.6,0,0,95,4.14,4.123,4.14,4.127,0,0,7.463,70.88,1075.6170262176,55.446196,6,P-GPS,
8100,2024-07-02 11:12:06,51.5366450983571,61.1509485655815,56.430448,54.5931776,1022.0081006176,1076.6012782176,63.320212,22.9957432,57.466865356,60.462272276,23,5,16.726,1076.6012782176,56.430448,22.9957432,57.466865356,-21.698318,-7.605596,-5.368656,199.2, -9.7, 2,0,0,1684,1024,1684,973,100,0,100,-8,165.5,0,0,95,4.14,4.123,4.14,4.127,0,0,7.463,70.88,1076.6012782176,56.430448,6,P-GPS,
8300,2024-07-02 11:12:07,51.5366277627565,61.1509384891569,58.398952,56.6601068,1021.9096754176,1078.5697822176,64.632548,23.6891946,64.192587356,67.187666192,23,5,16.726,1078.5697822176,58.398952,23.6891946,64.192587356,-22.3694,-7.82929,-7.82929,199.2, -8.9, 1.4,0,0,1684,1024,1684,1024,100,0,100,0,165.4,0,0,95,4.14,4.123,4.14,4.127,0,0,7.463,70.88,1078.5697822176,58.398952,6,P-GPS,
8500,2024-07-02 11:12:07,51.5366099224797,61.1509281212736,61.351708,59.6784796,1021.8440586176,1081.5225382176,67.25722,24.2036908,71.11384742,74.108926256,23,5,16.726,1081.5225382176,61.351708,24.2036908,71.11384742,-22.816788,-8.052984,-10.06623,199.1, -9.8, 1.4,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,4.14,4.123,4.14,4.127,0,0,7.463,70.88,1081.5225382176,61.351708,6,P-GPS,
8700,2024-07-02 11:12:07,51.5365921574348,61.1509178442813,65.288716,63.7139128,1021.7456334176,1085.4595462176,70.209976,24.4050154,78.001971,80.99737792,23,5,16.53,1085.4595462176,65.288716,24.4050154,78.001971,-23.040482,-8.052984,-9.842536,199.6, -16.5, 2.2,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,3.993,3.977,4.06,4.119,0,0,6.227,70.88,1085.4595462176,65.288716,6,P-GPS,
8900,2024-07-02 11:12:07,51.5365732222936,61.1509069698208,68.569556,67.093178,1021.6472082176,1088.7403862176,73.162732,24.6287094,85.338257324,88.33333616,23,5,16.53,1088.7403862176,68.569556,24.6287094,85.338257324,-23.264176,-8.052984,-7.82929,199.5, -20.2, 2.8,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,3.993,3.977,4.06,4.119,0,0,6.227,70.88,1088.7403862176,68.569556,6,P-GPS,
9100,2024-07-02 11:12:07,51.5365549859652,61.1508966127557,69.881892,68.5039392,1021.5487830176,1090.0527222176,75.131236,24.6287094,92.394359912,95.390094916,23,5,16.53,1090.0527222176,69.881892,24.6287094,92.394359912,-23.264176,-8.052984,-5.59235,199.1, -23.2, 3.7,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,3.993,3.977,4.06,4.119,0,0,6.227,70.88,1090.0527222176,69.881892,6,P-GPS,
9300,2024-07-02 11:12:08,51.5365355029892,61.1508856577197,71.194228,69.9147004,1021.4503578176,1091.3650582176,76.771656,24.830034,99.924871964,102.920606968,23,5,16.53,1091.3650582176,71.194228,24.830034,99.924871964,-23.48787,-8.052984,-2.908022,199.1, -24.9, 4.9,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,3.993,3.977,4.06,4.119,0,0,6.227,70.88,1091.3650582176,71.194228,6,P-GPS,
9500,2024-07-02 11:12:08,51.5365166052156,61.1508750351086,71.850396,70.6692936,1021.3519326176,1092.0212262176,77.755908,25.5458548,107.229006056,110.22474106,23,5,16.53,1092.0212262176,71.850396,25.5458548,107.229006056,-24.158952,-8.276678,-0.894776,199.2, -24, 5.1,0,0,1684,1024,1024,1024,100,0,0,0,165.4,0,0,95,3.993,3.977,4.06,4.119,0,0,6.227,70.88,1092.0212262176,71.850396,6,P-GPS,
